"","year","NPGO"
"1","1951",-0.44246748
"2","1952",-1.06647113
"3","1953",0.687624702
"4","1954",1.159684006
"5","1955",0.123963772
"6","1956",-0.1185513666
"7","1957",-1.112630604
"8","1958",-0.60250857
"9","1959",-0.407934934
"10","1960",0.61460857
"11","1961",1.26029891
"12","1962",0.00705286000000001
"13","1963",-0.25572304
"14","1964",0.583830606
"15","1965",-0.5988904276
"16","1966",-0.829702192
"17","1967",-0.789740146
"18","1968",-0.568987534
"19","1969",-1.024795896
"20","1970",0.032071858
"21","1971",0.0052335834
"22","1972",-0.2957106226
"23","1973",-0.3885109772
"24","1974",-0.2379439488
"25","1975",0.61961578
"26","1976",1.25881028
"27","1977",1.57191686
"28","1978",1.07569398
"29","1979",-0.550230662
"30","1980",-1.161953614
"31","1981",-0.485978396
"32","1982",-0.08333229
"33","1983",0.081680958
"34","1984",0.157586876
"35","1985",0.3210935318
"36","1986",-1.231724686
"37","1987",0.156427974
"38","1988",0.816804682
"39","1989",0.980332932
"40","1990",0.033625196
"41","1991",-0.825499134
"42","1992",-0.233910026
"43","1993",-1.96981522
"44","1994",-2.13753798
"45","1995",-1.363949946
"46","1996",-0.580462
"47","1997",-1.165286716
"48","1998",0.75120027
"49","1999",1.36949278
"50","2000",1.6101386
"51","2001",2.47726888
"52","2002",1.94475968
"53","2003",1.749644516
"54","2004",0.285037166
"55","2005",-1.213394822
"56","2006",-1.067709196
"57","2007",-0.450040454
"58","2008",0.850266702
"59","2009",0.875881506
"60","2010",1.53517348
"61","2011",0.768230122
"62","2012",0.66360798
"63","2013",1.135551878
"64","2014",-0.673769432
"65","2015",-0.65217975
"66","2016",-0.34334379
"67","2017",-0.442324392
"68","2018",-2.10069852
