year,FMA
1950,-1.089885023
1951,-0.514835523
1952,-0.73141094
1953,1.07183484
1954,0.287784783
1955,-0.141513597
1956,-0.051071866
1957,-1.5178159
1958,-0.57480805
1959,-0.478005787
1960,0.825109607
1961,1.355312107
1962,-0.409623917
1963,-0.729027077
1964,0.298100953
1965,-0.886518313
1966,-1.027604343
1967,-0.87354589
1968,-0.80539239
1969,-0.551233967
1970,-0.318581013
1971,0.455766237
1972,-0.59456083
1973,-0.208777457
1974,-0.132604815
1975,0.783324487
1976,1.7664066
1977,1.676686367
1978,0.771402127
1979,-0.632163113
1980,-0.979723803
1981,-0.79166241
1982,-0.855078567
1983,0.061255007
1984,0.75993406
1985,0.162011503
1986,-0.960732413
1987,0.50791352
1988,1.11283193
1989,0.79161412
1990,0.204701793
1991,-0.43931792
1992,-0.903648867
1993,-1.54718832
1994,-1.760509233
1995,-1.8134937
1996,-0.879261687
1997,-0.74575386
1998,1.104963223
1999,1.974965
2000,2.212689767
2001,2.516254367
2002,1.657685087
2003,1.19499956
2004,0.391803717
2005,-1.555709567
2006,-0.781750297
2007,-0.14192154
2008,1.301739467
2009,0.551620733
2010,1.557553033
2011,0.782636667
2012,1.30178545
2013,0.77368583
2014,-0.446221483
2015,-1.348520967
2016,0.101088237
2017,-0.559155563
2018,-2.111501433
