"","key","value","year"
"1","NDJ.AL",100894.353807388,1950
"2","NDJ.AL",100912.190297538,1951
"3","NDJ.AL",100828.113198273,1952
"4","NDJ.AL",99878.4833497173,1953
"5","NDJ.AL",100285.111523619,1954
"6","NDJ.AL",100354.988870795,1955
"7","NDJ.AL",101024.896846033,1956
"8","NDJ.AL",100958.060784991,1957
"9","NDJ.AL",99960.7857872806,1958
"10","NDJ.AL",100509.948030115,1959
"11","NDJ.AL",100143.327018526,1960
"12","NDJ.AL",99974.0256707474,1961
"13","NDJ.AL",100994.179398929,1962
"14","NDJ.AL",100270.27319463,1963
"15","NDJ.AL",99989.7708378845,1964
"16","NDJ.AL",100796.052425141,1965
"17","NDJ.AL",100802.653333446,1966
"18","NDJ.AL",100905.779815807,1967
"19","NDJ.AL",100634.683484474,1968
"20","NDJ.AL",100704.549780967,1969
"21","NDJ.AL",99761.7992949065,1970
"22","NDJ.AL",101035.034252458,1971
"23","NDJ.AL",101132.060367012,1972
"24","NDJ.AL",100585.237103899,1973
"25","NDJ.AL",100725.261625259,1974
"26","NDJ.AL",100269.593949231,1975
"27","NDJ.AL",100392.409060424,1976
"28","NDJ.AL",99587.3084473177,1977
"29","NDJ.AL",100178.963945317,1978
"30","NDJ.AL",100633.770462046,1979
"31","NDJ.AL",100275.485602586,1980
"32","NDJ.AL",99765.3158859524,1981
"33","NDJ.AL",100765.668217985,1982
"34","NDJ.AL",99768.2719083976,1983
"35","NDJ.AL",100239.972537829,1984
"36","NDJ.AL",100340.948684416,1985
"37","NDJ.AL",100205.297044923,1986
"38","NDJ.AL",99816.3359402436,1987
"39","NDJ.AL",100094.184993936,1988
"40","NDJ.AL",100696.543424593,1989
"41","NDJ.AL",100465.55935219,1990
"42","NDJ.AL",100864.652850161,1991
"43","NDJ.AL",99921.9172336252,1992
"44","NDJ.AL",100591.589636808,1993
"45","NDJ.AL",100481.910779879,1994
"46","NDJ.AL",100391.712018468,1995
"47","NDJ.AL",100388.329539363,1996
"48","NDJ.AL",100439.357901046,1997
"49","NDJ.AL",99837.2380180312,1998
"50","NDJ.AL",100414.16536533,1999
"51","NDJ.AL",100378.832860333,2000
"52","NDJ.AL",99901.4315163044,2001
"53","NDJ.AL",100140.436639552,2002
"54","NDJ.AL",99568.8514087044,2003
"55","NDJ.AL",100466.653017098,2004
"56","NDJ.AL",100392.961262708,2005
"57","NDJ.AL",100435.902786814,2006
"58","NDJ.AL",100506.922958476,2007
"59","NDJ.AL",100394.76661202,2008
"60","NDJ.AL",100878.31980431,2009
"61","NDJ.AL",99882.351494295,2010
"62","NDJ.AL",100924.767292835,2011
"63","NDJ.AL",100557.263580582,2012
"64","NDJ.NPI",101219.786536239,1950
"65","NDJ.NPI",101196.876356156,1951
"66","NDJ.NPI",101220.957845316,1952
"67","NDJ.NPI",100592.743468697,1953
"68","NDJ.NPI",100889.006624182,1954
"69","NDJ.NPI",100868.326750693,1955
"70","NDJ.NPI",101248.670352849,1956
"71","NDJ.NPI",101180.256367585,1957
"72","NDJ.NPI",100782.82651035,1958
"73","NDJ.NPI",100900.610209965,1959
"74","NDJ.NPI",100874.073802437,1960
"75","NDJ.NPI",100627.597434368,1961
"76","NDJ.NPI",101162.92137826,1962
"77","NDJ.NPI",100683.307538769,1963
"78","NDJ.NPI",100732.46360293,1964
"79","NDJ.NPI",101032.595022787,1965
"80","NDJ.NPI",101074.415458534,1966
"81","NDJ.NPI",101057.276442179,1967
"82","NDJ.NPI",101148.431559297,1968
"83","NDJ.NPI",101135.944826031,1969
"84","NDJ.NPI",100664.941123881,1970
"85","NDJ.NPI",101371.258034032,1971
"86","NDJ.NPI",101347.603490301,1972
"87","NDJ.NPI",101024.198314399,1973
"88","NDJ.NPI",100960.574750431,1974
"89","NDJ.NPI",100957.300475182,1975
"90","NDJ.NPI",100814.265592351,1976
"91","NDJ.NPI",100418.467205293,1977
"92","NDJ.NPI",100818.734134847,1978
"93","NDJ.NPI",101040.795489072,1979
"94","NDJ.NPI",100995.960377853,1980
"95","NDJ.NPI",100397.434911054,1981
"96","NDJ.NPI",100921.593919287,1982
"97","NDJ.NPI",100583.39128181,1983
"98","NDJ.NPI",100693.000589277,1984
"99","NDJ.NPI",100658.356217263,1985
"100","NDJ.NPI",100595.320357239,1986
"101","NDJ.NPI",100592.01454031,1987
"102","NDJ.NPI",100874.440315999,1988
"103","NDJ.NPI",101054.531721138,1989
"104","NDJ.NPI",100904.907717756,1990
"105","NDJ.NPI",101355.319196582,1991
"106","NDJ.NPI",100533.137342829,1992
"107","NDJ.NPI",101130.39946009,1993
"108","NDJ.NPI",100991.130376417,1994
"109","NDJ.NPI",100853.908824588,1995
"110","NDJ.NPI",100719.857457331,1996
