"","year","ebs.spr.sst","ebs.win.sst","EBSsumNW","EBSsumSE","EBSwinNW","EBSwinSE","ICE_57.75_164.5","ICE_58.75_170.5","ICE_64.25_163.5"
"1",1951,-0.91012786,-1.446198498,0.091397849,0.144301075,0.104772877,0.159326311,22,34,74
"2",1952,-0.901510989,-1.110112844,0.209032258,0.20344086,0.224937762,0.193315324,22,35,82
"3",1953,-0.186847831,-0.973945413,0.156129032,0.210322581,0.131742374,0.188457318,58,83,100
"4",1954,-0.737083412,-1.317336973,0.207956989,0.124516129,0.164274742,0.188983981,43,53,100
"5",1955,-0.952802423,-0.965570446,0.164301075,0.235053763,0.102797893,0.195918367,35,42,97
"6",1956,-0.093285308,-1.649807947,0.158064516,0.261505376,0.121987393,0.243535145,88,92,100
"7",1957,0.442248107,-1.786447329,0.129677419,0.176344086,0.184342769,0.130107527,68,72,100
"8",1958,1.780021516,0.485323667,0.104731183,0.227526882,0.155058152,0.122865921,35,56,95
"9",1959,-0.591358468,-0.371068949,0.11827957,0.288817204,0.147048497,0.16374808,74,38,100
"10",1960,-0.245860716,-0.638915001,0.143010753,0.28172043,0.136940516,0.122766036,35,32,90
"11",1961,-0.063449306,-0.920435547,0.182365591,0.16344086,0.149615975,0.18418916,57,79,100
"12",1962,-0.911770106,-0.655692571,0.221505376,0.308602151,0.170945798,0.150109721,41,35,100
"13",1963,-0.391320872,-0.586983642,0.143655914,0.229892473,0.139697169,0.173985078,74,68,100
"14",1964,0.127014321,-0.470819415,0.202580645,0.208817204,0.13103978,0.226834048,68,85,97
"15",1965,-0.942048911,-0.700787453,0.190107527,0.150107527,0.126486724,0.184529296,29,68,100
"16",1966,-0.31134251,-0.262366581,0.137419355,0.27483871,0.142933948,0.140004389,54,35,71
"17",1967,1.176296918,-0.462433932,0.137849462,0.183225806,0.218268598,0.159359228,19,0,100
"18",1968,-0.409212519,-0.420150233,0.180860215,0.19827957,0.129964511,0.178844218,31,63,92
"19",1969,-0.14343122,-0.371487295,0.151397849,0.202150538,0.192264648,0.127781435,32,59,95
"20",1970,0.093484791,-0.169224617,0.163225806,0.21483871,0.12682686,0.117390827,44,50,92
"21",1971,-1.517454187,-0.573356622,0.150537634,0.242365591,0.122032039,0.17512618,91,90,84
"22",1972,-1.465272148,-1.06304158,0.209247312,0.144516129,0.14136342,0.173139467,75,88,92
"23",1973,-0.887578219,-0.526706312,0.169677419,0.209677419,0.16395655,0.227079219,41,72,95
"24",1974,-0.110167344,-0.400020168,0.208172043,0.211612903,0.150449857,0.214461268,84,77,90
"25",1975,-1.138420416,-0.351806829,0.123870968,0.229892473,0.128648233,0.199001536,70,89,95
"26",1976,-1.126525402,-0.878353537,0.247096774,0.189462366,0.089411515,0.243995974,87,90,92
"27",1977,0.094148844,0.233437441,0.149247312,0.23655914,0.071900373,0.155244679,7,35,93
"28",1978,0.741128521,0.216127391,0.221290323,0.18344086,0.208711872,0.097695853,9,46,100
"29",1979,1.164320308,0.849350632,0.215698925,0.084946237,0.252128593,0.088479263,0,0,65
"30",1980,-0.076876263,0.446375859,0.177419355,0.175698925,0.116621643,0.165490757,27,51,70
"31",1981,1.613349186,-0.047892604,0.129462366,0.210322581,0.131928901,0.142593812,0,23,73
"32",1982,-0.411883616,0.464287772,0.23483871,0.118064516,0.17667325,0.207164801,42,16,93
"33",1983,1.083201619,-0.205401062,0.104086022,0.149892473,0.145962256,0.101996928,5,33,78
"34",1984,0.153295955,0.760297249,0.106236559,0.175053763,0.134562212,0.147068171,29,63,82
"35",1985,-0.816008931,1.089633983,0.150752688,0.137849462,0.131709458,0.17852754,26,39,80
"36",1986,-0.32478801,0.372626216,0.215913978,0.110537634,0.223337722,0.192604784,43,61,80
"37",1987,0.6636949,1.14561051,0.156989247,0.249247312,0.207384244,0.084825543,0,15,87
"38",1988,-0.10001992,0.77379188,0.228172043,0.170107527,0.153631019,0.192822713,35,50,78
"39",1989,0.25514767,0.328522371,0.149247312,0.124516129,0.18409041,0.149001536,6,0,68
"40",1990,0.263450592,0.158086501,0.278924731,0.164301075,0.103138029,0.150296248,34,42,90
"41",1991,-0.550545351,0.282324112,0.077849462,0.215698925,0.116008339,0.189137591,26,62,90
"42",1992,0.12885296,0.502917632,0.144086022,0.163010753,0.146453732,0.155055882,49,64,97
"43",1993,0.936682979,0.157915319,0.129677419,0.144946237,0.156265087,0.13208251,0,38,80
"44",1994,0.229055064,0.836856794,0.124086022,0.190107527,0.175499232,0.19649989,22,33,70
"45",1995,-0.481456605,0.124459878,0.117849462,0.202580645,0.12317314,0.249659864,37,68,85
"46",1996,0.838561359,0.65155375,0.189247312,0.190752688,0.182880449,0.103554214,0,5,69
"47",1997,0.56073225,0.495235023,0.201075269,0.151182796,0.15638578,0.164614878,26,57,70
"48",1998,0.254500191,0.568922254,0.143655914,0.208817204,0.108174237,0.108514373,0,26,75
"49",1999,-0.85821084,0.323903906,0.183010753,0.177204301,0.161981567,0.226771999,83,42,92
"50",2000,0.320145474,-0.712207963,0.144086022,0.14344086,0.176646009,0.204454685,0,0,60
"51",2001,0.959132853,1.743567185,0.091827957,0.235268817,0.194426158,0.078801843,0,0,82
"52",2002,0.925953758,0.371815889,0.143655914,0.176989247,0.179427255,0.219936362,0,5,72
"53",2003,1.971622232,1.822491272,0.176989247,0.183655914,0.140432302,0.146247531,0,0,58
"54",2004,0.787005522,0.997367896,0.228172043,0.190322581,0.178526405,0.139652524,0,6,73
"55",2005,0.678660421,0.702228557,0.143870968,0.208602151,0.151623875,0.144886987,0,0,71
"56",2006,-0.272223613,-0.070927383,0.091182796,0.295483871,0.170923853,0.229438227,0,0,81
"57",2007,-0.958689395,-0.0325313,0.170107527,0.260860215,0.156758833,0.280283081,54,59,72
"58",2008,-0.931024954,-0.179904906,0.098064516,0.254623656,0.121658986,0.300095344,79,84,86
"59",2009,-0.778761232,-0.394003862,0.175913978,0.190107527,0.157713408,0.221362739,13,10,79
"60",2010,-0.971777502,-0.159867534,0.209892473,0.091182796,0.148694316,0.210006583,72,80,87
"61",2011,0.211946866,0.712818299,0.183655914,0.164516129,0.138512179,0.22986614,70,51,78
"62",2012,-0.942910513,-0.503299705,0.064946237,0.280860215,0.146300122,0.271613963,82,80,83
"63",2013,-0.160837131,-0.371766297,0.138064516,0.183010753,0.088325653,0.203730524,75,85,75
