year,PDO_JFMA
1949,-1.785
1950,-1.8425
1951,-1.215
1952,-1.0375
1953,-0.4275
1954,-1.195
1955,-1.1375
1956,-2.4875
1957,-0.7625
1958,0.545
1959,-0.1775
1960,0.175
1961,0.51
1962,-1.165
1963,-0.36
1964,-0.525
1965,-0.435
1966,-0.52
1967,-0.6175
1968,-0.6725
1969,-0.7875
1970,0.7
1971,-1.7275
1972,-1.89
1973,-0.565
1974,-1.0725
1975,-0.84
1976,-1.21
1977,0.945
1978,1.105
1979,-0.18
1980,0.9475
1981,1.1225
1982,0.135
1983,1.42
1984,1.5
1985,0.7425
1986,1.615
1987,1.9725
1988,1.1325
1989,-0.78
1990,-0.325
1991,-1.24
1992,0.445
1993,0.5525
1994,0.9125
1995,0.3875
1996,0.9525
1997,0.5525
1998,1.4175
1999,-0.43
2000,-0.5475
2001,0.2575
2002,-0.28
2003,1.6325
2004,0.5225
2005,0.91
2006,0.535
2007,-0.0375
2008,-1
2009,-1.5475
2010,0.7175
2011,-0.715
2012,-0.8875
2013,-0.3375
2014,0.695
2015,2.0475
2016,2.075
2017,0.8325
2018,0.2825
