"","year","win.sst","spr.sum.sst","bifur","win.UW.51","spr.sum.UW.51","win.UW.48","spr.sum.UW.48","transition"
"1950",1950,-0.948165765048513,-1.48726425660508,NA,-12.4,-20.5,-30.2,-12,NA
"1951",1951,-0.412588014842519,-0.839339162835053,NA,5.4,2,-1.8,-4,NA
"1952",1952,-0.265028348208913,-0.690979476698807,NA,20.6,-30,-8.2,-25.5,NA
"1953",1953,-0.0470015075221148,-0.192076842912606,NA,-22.8,-13.5,-40.4,-16.5,NA
"1954",1954,0.520511922596446,-0.725771452912262,NA,12.8,1.5,-1.8,-5.5,NA
"1955",1955,-0.339672711135396,-1.02132373643773,NA,0.2,9.5,-0.2,7,NA
"1956",1956,-0.403235855342397,-0.0226396877850804,NA,-37.4,5,-7.6,21,NA
"1957",1957,-0.245725407840261,0.415203426352569,NA,16.8,0.5,23.4,-0.5,NA
"1958",1958,0.999491557835093,1.35359819637878,NA,-64.8,1,-40.2,2.5,NA
"1959",1959,0.450469062088481,0.044391859642097,NA,-21.8,8,2.6,5.5,NA
"1960",1960,0.593799373863688,-0.0557185221995625,NA,-8.4,-20,3,-32.5,NA
"1961",1961,0.367265102623454,0.390939582458564,NA,-43.2,11.5,-60.2,-1.5,NA
"1962",1962,0.800372371433726,-0.0693698932017598,NA,37.4,-7.5,33.4,-3.5,NA
"1963",1963,0.855812535046092,0.722976733318397,NA,-18.2,0,3.6,-9,NA
"1964",1964,0.263541362045756,-0.655744608172348,NA,9.6,33,21.8,28,NA
"1965",1965,-0.157776763679036,-1.07152592731374,NA,31,15.5,28.8,18,NA
"1966",1966,-0.326442399264821,-0.250288899668625,NA,4.4,11.5,-6.8,33,NA
"1967",1967,-0.189077701808461,-0.187798645028046,1.389348782,14.8,17,6,21.5,NA
"1968",1968,-0.43331656718398,-0.35743298722165,-1.05349239,-0.4,8,-14.8,15,NA
"1969",1969,-0.759345879794606,-0.555180590280465,-0.209053467,5.8,-36,-11.2,-25,13.26190476
"1970",1970,-0.103280523063191,-0.567465733417443,0.333800125,-45,12.5,-23,11.5,-28.73809524
"1971",1971,-1.18120695614959,-1.2128255326833,0.122690398,22.6,-6.5,15.6,5,0.261904762
"1972",1972,-1.19376077914382,-0.568883921631745,-0.751907059,22.8,3,29.4,-6,-0.738095238
"1973",1973,-0.802633240462789,-0.359582882055214,0.816336655,0.4,-7,-3.6,7,-24.73809524
"1974",1974,-0.558912804366597,-0.531022634037903,0.152848926,22.2,-5.5,21.6,-4.5,-4.738095238
"1975",1975,-0.71540029311324,-0.733876879939011,1.027446383,9,8.5,19.6,7,-20.73809524
"1976",1976,-0.235252967120656,-0.838440727123192,0.454434256,13.4,-26.5,14.4,-7.5,-2.738095238
"1977",1977,0.178565308807841,-0.292663048633507,-0.480480263,-9,2,24.6,-5.5,-29.73809524
"1978",1978,-0.0283874299540606,0.327905167213508,-0.11857787,-22.8,2.5,-5.2,-2,-7.738095238
"1979",1979,-0.353929522277364,-0.0697357912148747,0.84649519,37.6,3,32.6,8,-26.73809524
"1980",1980,0.106623742340556,0.0724407623921123,-0.420163201,-4.6,-53.5,-52.8,4,7.261904762
"1981",1981,0.357944950817576,-0.0755823065127644,-0.932858259,-56.8,-9.5,-51,-5.5,2.261904762
"1982",1982,-0.340695038081655,-0.625460963376931,1.389348782,17.8,3,4.6,20.5,3.261904762
"1983",1983,0.505114338158122,0.931586105695793,-1.566187454,-44.8,3,-46.2,16,-10.73809524
"1984",1984,0.00500224566315739,-0.4726774801101,-1.716980119,-24.4,-37,-24.2,-16.5,43.26190476
"1985",1985,-0.706990649940023,-0.263639460929802,1.781409709,13.2,0,12.2,4.5,-12.73809524
"1986",1986,0.0504630897030744,-0.0850935686911854,-1.566187454,-53.6,-15,-55.2,-5,-16.73809524
"1987",1987,0.569651612995616,0.0806995819721904,-0.751907059,-7.8,-36.5,-35.6,-1,3.261904762
"1988",1988,-0.0149860289111224,-0.0528052855815205,-0.842382662,-0.8,-13.5,-10.2,-11.5,52.26190476
"1989",1989,-0.399091961623677,0.480518106690475,0.635385456,19,4.5,9.2,8,-6.738095238
"1990",1990,-0.375456705333242,0.428083528152534,0.303641591,14.6,0.5,42.2,1.5,-19.73809524
"1991",1991,-0.30863337779189,-0.196206491121224,0.394117194,29.4,4,34.6,5.5,-4.738095238
"1992",1992,0.649628815411082,1.07951201902969,-0.721748525,-33.2,-5.5,-20.4,2,16.26190476
