"","year","pdo1","pdo2a","pdo2b","pdo3","npgo","npgo2a","npgo2b","npgo3"
"1",1951,-1.544,NA,-1.278,NA,-0.44246748,NA,-0.754469305,NA
"2",1952,-1.012,-1.278,-0.754,-1.01733333333333,-1.06647113,-0.754469305,-0.189423214,-0.273771302666667
"3",1953,-0.496,-0.754,-0.589,-0.73,0.687624702,-0.189423214,0.923654354,0.260279192666667
"4",1954,-0.682,-0.589,-0.577,-0.55,1.159684006,0.923654354,0.641823889,0.657090826666667
"5",1955,-0.472,-0.577,-1.597,-1.292,0.123963772,0.641823889,0.00270620269999999,0.388365470466667
"6",1956,-2.722,-1.597,-1.947,-1.45533333333333,-0.1185513666,0.00270620269999999,-0.6155909853,-0.369072732866667
"7",1957,-1.172,-1.947,-0.561,-1.28133333333333,-1.112630604,-0.6155909853,-0.857569587,-0.6112301802
"8",1958,0.05,-0.561,0.0239999999999998,-0.374666666666667,-0.60250857,-0.857569587,-0.505221752,-0.707691369333333
"9",1959,-0.002,0.0239999999999998,0.177,0.134666666666667,-0.407934934,-0.505221752,0.103336818,-0.131944978
"10",1960,0.356,0.177,0.342,0.227333333333333,0.61460857,0.103336818,0.93745374,0.488990848666667
"11",1961,0.328,0.342,-0.676,-0.332,1.26029891,0.93745374,0.633675885,0.627320113333333
"12",1962,-1.68,-0.676,-1.076,-0.608,0.00705286000000001,0.633675885,-0.12433509,0.337209576666667
"13",1963,-0.472,-1.076,-0.659,-0.999333333333333,-0.25572304,-0.12433509,0.164053783,0.111720142
"14",1964,-0.846,-0.659,-0.891,-0.751333333333333,0.583830606,0.164053783,-0.00752991079999993,-0.0902609538666667
"15",1965,-0.936,-0.891,-0.735,-0.772,-0.5988904276,-0.00752991079999993,-0.7142963098,-0.281587337866667
"16",1966,-0.534,-0.735,-0.572,-0.693333333333333,-0.829702192,-0.7142963098,-0.809721169,-0.7394442552
"17",1967,-0.61,-0.572,-0.516,-0.522,-0.789740146,-0.809721169,-0.67936384,-0.729476624
"18",1968,-0.422,-0.516,-0.653,-0.638666666666667,-0.568987534,-0.67936384,-0.796891715,-0.794507858666667
"19",1969,-0.884,-0.653,-0.0520000000000002,-0.175333333333333,-1.024795896,-0.796891715,-0.496362019,-0.520570524
"20",1970,0.78,-0.0520000000000002,-0.319,-0.507333333333333,0.032071858,-0.496362019,0.0186527207,-0.329163484866667
