"system","var","percntl.10","percntl.25","median","percntl.75","percntl.90","group"
"Bering Sea","PDO",0.208637281611749,0.398813547013687,0.518931988071935,0.648962835935965,0.864379383587727,"Environment"
"Bering Sea","NPGO",-1.39592201157641,-0.641135397241047,-0.14929814508407,0.363934582760653,1.20021284043707,"Environment"
"Gulf of Alaska","PDO",0.0886793354410031,0.344628977614096,0.476855051271414,0.603760972132624,0.807482490884538,"Environment"
"Gulf of Alaska","NPGO",-1.04396806623117,-0.399962809251649,0.0300827335823237,0.487937116952204,1.16513851143649,"Environment"
"Northern California Current","PDO",0.387366046501287,0.664029366920964,0.843504245753717,1.03495370414536,1.40961933105054,"Environment"
"Northern California Current","NPGO",-1.53904276162387,-0.688215473197885,-0.0743144777224328,0.518530473072251,1.56664534919668,"Environment"
"Central California Current","PDO",0.394211352540355,0.616351851373736,0.752585825238464,0.894578982365724,1.16631032721038,"Environment"
"Central California Current","NPGO",-1.92079518377325,-0.806667357075077,0.119603853334592,0.994952347010532,2.09175544609109,"Environment"
"Southern California Current","PDO",-0.477439086353485,0.493826733374322,0.945644795308361,1.24413526938103,1.79023483479784,"Environment"
"Southern California Current","NPGO",-1.84877217099153,-0.594553167233794,0.270459146687615,1.12006791433931,2.14268828157093,"Environment"
"Bering Sea","PDO",-0.328155824077741,0.513294836941117,0.987158779151521,1.45287556449691,2.19928115891655,"Pink salmon"
"Bering Sea","PDO",-0.3773434102568,-0.0612361592684586,0.144428728062993,0.356878694953313,0.710952537726041,"Sockeye salmon"
"Bering Sea","PDO",-0.260099186009963,0.291131483160526,0.696586465443255,1.11494607103415,1.83458791405335,"Chum salmon"
"Bering Sea","NPGO",-0.513687106888077,-0.187732512447897,0.00843480335468822,0.221114679265689,0.659929584281302,"Pink salmon"
"Bering Sea","NPGO",-0.0867568668176026,0.0736399188030154,0.181024817547077,0.286589920912268,0.453822494853238,"Sockeye salmon"
"Bering Sea","NPGO",-0.39151048891554,-0.0194971600297634,0.23036217533987,0.517431686271443,1.16323829218917,"Chum salmon"
"Gulf of Alaska","PDO",-0.219592645731073,0.0246070600782378,0.201703239130605,0.368280398139033,0.629694200897855,"Pink salmon"
"Gulf of Alaska","PDO",-0.86017716641559,-0.592363450912952,-0.414854671299536,-0.24120650053825,0.00735247661621162,"Sockeye salmon"
"Gulf of Alaska","PDO",-0.404447882239949,-0.11297025548886,0.0788480723892586,0.256895805494104,0.54639227452052,"Chum salmon"
"Gulf of Alaska","NPGO",-0.255995622006505,-0.152821509005013,-0.0840022534017184,-0.0169762665444076,0.0891363181737194,"Pink salmon"
"Gulf of Alaska","NPGO",-0.243932574662901,-0.0946887841060725,0.00102838812639188,0.091153537429914,0.240947153378718,"Sockeye salmon"
"Gulf of Alaska","NPGO",-0.46289695371303,-0.256656181288745,-0.13172813285429,-0.0115645489858442,0.173219790633644,"Chum salmon"
"Northern California Current","PDO",-0.955468630685782,-0.332006209858885,0.105944017072568,0.584703098079586,1.40054305639087,"Pink salmon"
"Northern California Current","PDO",0.237065934484356,0.564288140758531,0.80814645757445,1.07777319211973,1.53701168497249,"Sockeye salmon"
"Northern California Current","PDO",-1.41244380276851,-0.957172421525544,-0.671415805185996,-0.377237564011085,0.10072116021156,"Chum salmon"
"Northern California Current","NPGO",-0.0124887031049025,0.132120245812889,0.23375384686963,0.345686915241969,0.515336580226953,"Pink salmon"
"Northern California Current","NPGO",-0.448615976380445,-0.167348556510844,0.0159839537777394,0.208248620834583,0.512140226022886,"Sockeye salmon"
"Northern California Current","NPGO",-1.06400181163358,-0.640232696758578,0.714750081861086,1.0968506862248,1.58682974501007,"Chum salmon"
"Bering Sea","PDO",-1.05555262924159,-0.476974939883731,-0.0729297492555498,0.354298800798996,1.01747758209978,"Other biology"
"Bering Sea","NPGO",-1.4656121428493,-0.711347624960663,-0.140157247944853,0.491588437893293,1.43940740579487,"Other biology"
"Gulf of Alaska","PDO",-0.214694320480195,-0.0522780280098508,0.0531082553225824,0.154932586856396,0.319696983783884,"Other biology"
"Gulf of Alaska","NPGO",-1.38927461065931,-0.519104475976551,0.055149307759198,0.603192333483893,1.35954035868247,"Other biology"
"Northern California Current","PDO",-1.18860126064034,-0.38706378534099,0.00616088917847121,0.402018145643372,1.16484016372483,"Other biology"
"Northern California Current","NPGO",-1.37565617773307,-0.269952577847393,0.43324232150715,1.00716253765307,1.90426376798406,"Other biology"
"Central California Current","PDO",-1.37439359960809,-0.61482594642392,-0.192538530191269,0.282139241467005,1.11335066433634,"Other biology"
"Central California Current","NPGO",-1.99935584396323,-1.10025168313132,-0.440971593423198,0.283796689641873,1.47722283479528,"Other biology"
"Southern California Current","PDO",-0.326027746049189,0.0535447093291058,0.27018584994441,0.485420276877423,0.853980918554147,"Other biology"
"Southern California Current","NPGO",-0.739038705627406,0.0723090684351063,0.56142017723997,1.07254128649564,1.92843449024218,"Other biology"
