"","system","ratio","order"
"1","Central California Current",-182.507419169998,4
"2","Central California Current",-109.627264183188,4
"3","Central California Current",-118.593083645099,4
"4","Central California Current",-84.9221623363588,4
"5","Central California Current",85.7760189304484,4
"6","Central California Current",-72.5516337223585,4
"7","Central California Current",-36.8883925927888,4
"8","Central California Current",-178.382218884783,4
"9","Central California Current",12.0963126622962,4
"10","Central California Current",38.0748665161078,4
"11","Central California Current",-19.7361134907922,4
"12","Central California Current",-75.2461396527305,4
"13","Central California Current",-211.559897730551,4
"14","Central California Current",-175.611765803598,4
"15","Central California Current",-78.9280222714119,4
"16","Central California Current",-20.2556351753545,4
"17","Central California Current",116.801968579307,4
"18","Central California Current",0.235764325000133,4
"19","Central California Current",-31.7821417214406,4
"20","Central California Current",61.3628487095547,4
"21","Central California Current",-111.066326620299,4
"22","Central California Current",-30.2222174740838,4
"23","Central California Current",-99.0117473223177,4
"24","Central California Current",-22.9785212233727,4
"25","Central California Current",36.3081222004687,4
"26","Central California Current",-212.872704985066,4
"27","Central California Current",77.8540747496948,4
"28","Central California Current",-61.7638443884295,4
"29","Central California Current",-76.2782214676539,4
"30","Central California Current",4.67839439890015,4
"31","Central California Current",-53.0564652663601,4
"32","Central California Current",-93.9964903971607,4
"33","Central California Current",-151.820275202698,4
"34","Central California Current",45.4513268523831,4
"35","Central California Current",-82.820614721844,4
"36","Central California Current",-70.5035311666301,4
"37","Central California Current",-13.4862523843159,4
"38","Central California Current",-63.3575539144214,4
"39","Central California Current",-44.2870739735148,4
"40","Central California Current",-173.244071455822,4
"41","Central California Current",-28.9306631617051,4
"42","Central California Current",-71.2146486832645,4
"43","Central California Current",-204.431168207851,4
"44","Central California Current",-57.5425239574914,4
"45","Central California Current",-244.687903427894,4
"46","Central California Current",-120.797716946336,4
"47","Central California Current",-91.060320196706,4
"48","Central California Current",-62.7827659911403,4
"49","Central California Current",-49.1464173342065,4
"50","Central California Current",14.8333375319959,4
"51","Central California Current",36.369640784075,4
"52","Central California Current",16.2132632920182,4
"53","Central California Current",-132.050265559225,4
"54","Central California Current",-179.403041173642,4
"55","Central California Current",38.0436871053513,4
"56","Central California Current",-71.0042755689034,4
"57","Central California Current",-134.117861723733,4
"58","Central California Current",-81.4489083488028,4
"59","Central California Current",-184.771413517548,4
"60","Central California Current",4.72426243241603,4
"61","Central California Current",-10.9911492807128,4
"62","Central California Current",57.1772774948868,4
"63","Central California Current",-70.4143689256455,4
"64","Central California Current",-101.067453626526,4
"65","Central California Current",-101.995506728671,4
"66","Central California Current",-54.1298026264472,4
"67","Central California Current",63.6834838524019,4
"68","Central California Current",-150.279484577823,4
"69","Central California Current",-71.9325838496198,4
"70","Central California Current",-146.669225466264,4
"71","Central California Current",-147.250934154773,4
"72","Central California Current",-50.2212189533617,4
"73","Central California Current",-45.8937009607307,4
"74","Central California Current",-68.8941790041762,4
"75","Central California Current",-158.82719242039,4
"76","Central California Current",-90.6439057600994,4
"77","Central California Current",-123.714000983723,4
"78","Central California Current",-196.400433308538,4
"79","Central California Current",-171.785738822574,4
"80","Central California Current",-105.091861364342,4
"81","Central California Current",-57.4398495003817,4
"82","Central California Current",-62.2248130743722,4
"83","Central California Current",-138.034728479814,4
"84","Central California Current",5.59406256667335,4
"85","Central California Current",-83.5145077115805,4
"86","Central California Current",-65.8669014723553,4
"87","Central California Current",-158.621538844471,4
"88","Central California Current",-263.267892612208,4
"89","Central California Current",-120.69009862092,4
"90","Central California Current",-168.261809218799,4
"91","Central California Current",-1.99604021196939,4
"92","Central California Current",-106.374068445848,4
"93","Central California Current",69.8517443285312,4
"94","Central California Current",-23.1294511969725,4
"95","Central California Current",-136.357002286401,4
"96","Central California Current",5.5350515261367,4
"97","Central California Current",-23.9227817670268,4
"98","Central California Current",-67.2986071469955,4
"99","Central California Current",-106.086124183973,4
"100","Central California Current",-201.817126703598,4
"101","Central California Current",29.5999954392342,4
"102","Central California Current",41.4589220434143,4
"103","Central California Current",-180.470202951766,4
"104","Central California Current",-107.987935151735,4
"105","Central California Current",-195.926458597111,4
"106","Central California Current",-60.5264622217344,4
"107","Central California Current",-94.309280107377,4
"108","Central California Current",-66.3257790078007,4
"109","Central California Current",-214.323939312842,4
"110","Central California Current",-7.90877954747936,4
"111","Central California Current",-146.206257751876,4
"112","Central California Current",-6.8354301469073,4
"113","Central California Current",-68.9826675828162,4
"114","Central California Current",-186.535423374747,4
"115","Central California Current",-2.87362947752237,4
"116","Central California Current",-99.2003887712106,4
"117","Central California Current",92.7753456705534,4
"118","Central California Current",34.6320952207136,4
"119","Central California Current",-29.8233754060685,4
"120","Central California Current",-139.470234480361,4
"121","Central California Current",48.9119539830019,4
"122","Central California Current",38.0263390034369,4
"123","Central California Current",43.2014789657755,4
"124","Central California Current",-30.5122305699087,4
"125","Central California Current",-114.756910285131,4
"126","Central California Current",-13.5807894297019,4
"127","Central California Current",0.214760962221185,4
"128","Central California Current",-143.784311831061,4
"129","Central California Current",-33.5853937825426,4
"130","Central California Current",-59.8247376599015,4
"131","Central California Current",73.2268721126397,4
"132","Central California Current",-352.114936880554,4
"133","Central California Current",-159.371966139707,4
"134","Central California Current",-126.217954633433,4
"135","Central California Current",-36.0970980046901,4
"136","Central California Current",-47.8190582209642,4
"137","Central California Current",-51.5220084437464,4
"138","Central California Current",-36.7334949302757,4
"139","Central California Current",-165.331019533776,4
"140","Central California Current",-125.450934643456,4
"141","Central California Current",-15.7210303766009,4
"142","Central California Current",71.1526223938302,4
"143","Central California Current",97.6565139776294,4
"144","Central California Current",-84.1364850691557,4
"145","Central California Current",-41.0908255957774,4
"146","Central California Current",-273.191852732474,4
"147","Central California Current",24.5172577888821,4
"148","Central California Current",40.5250488766977,4
"149","Central California Current",-134.777960599189,4
"150","Central California Current",-173.682165252855,4
"151","Central California Current",-140.229370681352,4
"152","Central California Current",47.8164923556876,4
"153","Central California Current",-159.979944613603,4
"154","Central California Current",-466.694154901906,4
"155","Central California Current",-129.572199286645,4
"156","Central California Current",-70.9277811615536,4
"157","Central California Current",16.5875816949242,4
"158","Central California Current",84.3888364913584,4
"159","Central California Current",-164.833163537004,4
"160","Central California Current",-249.042601603386,4
"161","Central California Current",-100.370262882149,4
"162","Central California Current",88.082998393391,4
"163","Central California Current",-53.471474206045,4
"164","Central California Current",-199.951091253825,4
"165","Central California Current",19.2476037669748,4
"166","Central California Current",-5.78445196213403,4
"167","Central California Current",85.2899385286853,4
"168","Central California Current",-41.8508074399003,4
"169","Central California Current",-363.00539524219,4
"170","Central California Current",-39.2290055738585,4
"171","Central California Current",-33.6623301976795,4
"172","Central California Current",-68.4182504756505,4
"173","Central California Current",-2.10565128353409,4
"174","Central California Current",-121.904534337854,4
"175","Central California Current",-79.8044709712591,4
"176","Central California Current",-135.384325549703,4
"177","Central California Current",-89.4473102453031,4
"178","Central California Current",-7.58175704308487,4
"179","Central California Current",24.8138900144092,4
"180","Central California Current",-68.5111833975155,4
"181","Central California Current",129.106405478614,4
"182","Central California Current",-60.0503045193327,4
"183","Central California Current",34.5795909039103,4
"184","Central California Current",-244.522192092799,4
"185","Central California Current",-110.086531372965,4
"186","Central California Current",-153.773472636976,4
"187","Central California Current",11.002654981675,4
"188","Central California Current",-102.381876567096,4
"189","Central California Current",-89.6572762313061,4
"190","Central California Current",-8.61096412883278,4
"191","Central California Current",23.3416029481141,4
"192","Central California Current",-42.9168250314095,4
"193","Central California Current",-156.890552112993,4
"194","Central California Current",-132.655540495809,4
"195","Central California Current",-109.985878527298,4
"196","Central California Current",-120.922699961072,4
"197","Central California Current",-293.33310409504,4
"198","Central California Current",-100.410257127054,4
"199","Central California Current",-102.916165479135,4
"200","Central California Current",-99.7727738342172,4
"201","Central California Current",-75.1654086750382,4
"202","Central California Current",-39.0807160656305,4
"203","Central California Current",-9.79986893814092,4
"204","Central California Current",-16.8632379186085,4
"205","Central California Current",-94.6378919336938,4
"206","Central California Current",35.1934533708035,4
"207","Central California Current",-98.2153222383425,4
"208","Central California Current",-107.369471813444,4
"209","Central California Current",-113.079056745262,4
"210","Central California Current",-82.4505827849989,4
"211","Central California Current",-67.4981679954035,4
"212","Central California Current",-51.0509360632739,4
"213","Central California Current",-73.4183524273575,4
"214","Central California Current",19.5309344928132,4
"215","Central California Current",-65.6730111477783,4
"216","Central California Current",3.92545309074586,4
"217","Central California Current",5.87457922349084,4
"218","Central California Current",97.770272165026,4
"219","Central California Current",-216.195099427598,4
"220","Central California Current",-39.8873477217017,4
"221","Central California Current",-34.2050998953089,4
"222","Central California Current",-88.6974229685499,4
"223","Central California Current",-64.5863672425405,4
"224","Central California Current",-110.806561633901,4
"225","Central California Current",3.08390699177791,4
"226","Central California Current",-133.373500321674,4
"227","Central California Current",-73.8903268616516,4
"228","Central California Current",-106.810443277344,4
"229","Central California Current",30.7370343626331,4
"230","Central California Current",-69.5345541842013,4
"231","Central California Current",-107.592098212404,4
"232","Central California Current",-29.4224209475549,4
"233","Central California Current",60.5687596220086,4
"234","Central California Current",-42.3478835955886,4
"235","Central California Current",-17.9875305544203,4
"236","Central California Current",-142.94927647158,4
"237","Central California Current",-28.2042649407169,4
"238","Central California Current",-172.857127818335,4
"239","Central California Current",-150.581214614454,4
"240","Central California Current",-69.4852577095237,4
"241","Central California Current",-1.48533621199161,4
"242","Central California Current",-92.6681829813568,4
"243","Central California Current",-36.101859115587,4
"244","Central California Current",-69.657123383706,4
"245","Central California Current",-27.4573494145585,4
"246","Central California Current",-173.700495590503,4
"247","Central California Current",-122.448031830691,4
"248","Central California Current",-130.770262918328,4
"249","Central California Current",-33.1776942906168,4
"250","Central California Current",-129.358555358575,4
"251","Central California Current",-143.441495788747,4
"252","Central California Current",128.398096564645,4
"253","Central California Current",102.011733542822,4
"254","Central California Current",-88.2447903946602,4
"255","Central California Current",89.1978351969563,4
"256","Central California Current",-71.9099552703093,4
"257","Central California Current",-10.987974369923,4
"258","Central California Current",98.9078710522444,4
"259","Central California Current",-107.800977320663,4
"260","Central California Current",-88.6873284036246,4
"261","Central California Current",-25.2659939914021,4
"262","Central California Current",-253.689166281415,4
"263","Central California Current",-57.9398809563162,4
"264","Central California Current",-130.977999822464,4
"265","Central California Current",-64.9808487115123,4
"266","Central California Current",-17.4972333177991,4
"267","Central California Current",15.749469621839,4
"268","Central California Current",-28.9840623863878,4
"269","Central California Current",-105.487954411973,4
"270","Central California Current",-106.526338361601,4
"271","Central California Current",29.5703089193617,4
"272","Central California Current",-37.8743640909319,4
"273","Central California Current",-138.070380467677,4
"274","Central California Current",-115.435277237679,4
"275","Central California Current",-96.6640615114073,4
"276","Central California Current",-113.464899306518,4
"277","Central California Current",-225.694350236085,4
"278","Central California Current",-142.790174356211,4
"279","Central California Current",-77.3740732019863,4
"280","Central California Current",121.804306202619,4
"281","Central California Current",-196.05927127123,4
"282","Central California Current",-14.9186457222591,4
"283","Central California Current",50.6249995199463,4
"284","Central California Current",-12.2144130966733,4
"285","Central California Current",25.6744878156006,4
"286","Central California Current",-197.360896321465,4
"287","Central California Current",-56.8010602305469,4
"288","Central California Current",-39.9465350886507,4
